time,latitude,longitude,u10,v10,t2m,d2m,msl,sst,sp,u100,v100,stl1,swvl1,cvh
2025-03-01,34.62,-117.27827272727268,2.41,1.47,283.78,278.89,1089.38,283.86,973.99,3.16,2.17,289.24,0.27,0.49
2025-03-01,34.62,-117.02818181818176,2.47,1.46,316.24,291.01,1030.79,292.16,978.11,2.82,1.75,248.14,0.26,0.48
2025-03-01,34.87,-116.528,2.65,1.47,296.83,278.27,880.34,281.87,966.15,3.29,2.07,296.46,0.26,0.48
2025-03-01,34.62,-116.528,2.58,1.57,298.46,279.22,947.1,285.85,1038.94,3.06,1.98,285.16,0.25,0.48
2025-03-01,34.62,-119.02890909090908,2.41,1.52,310.24,288.22,1015.71,275.87,1016.13,2.96,2.04,300.87,0.24,0.48
2025-03-01,34.12,-117.02818181818176,2.6,1.6,291.46,280.79,1106.16,290.27,951.72,3.19,2.09,298.71,0.27,0.54
2025-03-01,34.37,-117.77845454545451,2.45,1.46,287.29,288.84,1046.62,296.35,1089.62,2.9,2.06,278.53,0.25,0.5
2025-03-01,34.37,-117.27827272727268,2.63,1.46,318.02,267.81,1008.6,294.06,980.3,3.13,1.85,255.35,0.26,0.5
2025-03-01,34.37,-117.5283636363636,2.4,1.44,292.33,288.43,992.89,302.96,1015.82,2.99,2.02,284.76,0.24,0.45
2025-03-01,34.37,-118.77881818181817,2.43,1.61,282.09,274.12,966.7,282.13,1020.81,3.02,2.01,294.07,0.24,0.47
2025-03-01,34.37,-118.02854545454542,2.52,1.56,293.83,277.51,935.5,308.56,959.06,3.09,1.96,296.53,0.24,0.49
2025-03-01,34.37,-118.27863636363634,2.47,1.55,285.11,268.83,973.96,301.53,1097.81,3.08,1.89,297.49,0.26,0.49
2025-03-01,34.37,-118.52872727272725,2.54,1.44,292.91,280.69,954.66,287.82,1001.65,3.26,2.35,283.53,0.25,0.5
2025-03-01,34.37,-116.77809090909085,2.51,1.51,296.13,278.65,972.7,295.18,1011.76,2.87,2.16,292.61,0.25,0.47
2025-03-01,34.37,-119.02890909090908,2.45,1.57,290.54,296.79,1007.49,277.21,1005.52,3.1,1.97,285.45,0.24,0.5
2025-03-01,34.37,-117.02818181818176,2.38,1.42,293.85,270.78,978.0,262.77,1057.3,2.93,1.91,308.43,0.22,0.46
2025-03-01,34.12,-118.77881818181817,2.56,1.74,301.38,280.28,1050.73,291.54,976.69,2.81,2.12,293.62,0.25,0.53
2025-03-01,34.37,-116.528,2.38,1.54,305.07,286.63,989.39,294.51,959.72,3.12,2.07,270.3,0.27,0.51
2025-03-01,34.12,-119.279,2.38,1.46,290.67,270.87,1057.27,282.17,1088.46,3.15,2.1,308.68,0.28,0.46
2025-03-01,34.12,-119.02890909090908,2.63,1.58,278.54,281.78,1010.96,285.31,1015.78,2.55,1.97,283.09,0.23,0.49
2025-03-01,34.12,-118.52872727272725,2.51,1.42,300.44,300.21,1034.44,302.47,961.16,3.07,2.0,299.92,0.28,0.57
2025-03-01,34.12,-118.27863636363634,2.49,1.44,292.54,306.65,976.99,307.38,1000.96,2.9,2.04,294.54,0.25,0.52
2025-03-01,34.12,-118.02854545454542,2.57,1.52,291.92,309.53,1055.56,314.01,1039.9,3.3,2.05,267.66,0.26,0.46
2025-03-01,34.12,-117.77845454545451,2.33,1.39,290.69,276.99,988.66,287.17,977.65,2.95,1.99,287.41,0.25,0.5
2025-03-01,34.12,-117.5283636363636,2.53,1.57,278.93,304.61,994.15,283.4,1103.5,3.07,1.92,286.9,0.26,0.47
2025-03-01,34.12,-117.27827272727268,2.43,1.49,283.07,298.13,997.91,312.82,990.05,3.1,2.07,283.16,0.24,0.51
2025-03-01,34.37,-119.279,2.64,1.42,295.5,267.44,960.52,261.53,1000.72,3.02,1.83,273.54,0.25,0.48
2025-03-01,34.12,-116.77809090909085,2.37,1.42,283.32,276.69,1084.37,268.14,1010.27,3.04,1.99,283.36,0.24,0.46
2025-03-01,33.62,-116.528,2.43,1.5,305.29,273.36,1115.83,297.52,965.41,3.0,1.95,280.06,0.25,0.51
2025-03-01,34.62,-116.77809090909085,2.54,1.44,292.31,292.83,1009.41,322.72,1047.39,3.2,2.19,291.77,0.26,0.5
2025-03-01,33.87,-119.02890909090908,2.3,1.3,285.7,286.86,998.05,296.93,924.75,3.03,1.94,291.29,0.25,0.48
2025-03-01,33.87,-116.528,2.49,1.52,266.38,288.02,1116.52,291.15,1053.93,3.23,2.23,269.21,0.27,0.53
2025-03-01,33.87,-118.77881818181817,2.37,1.56,284.63,271.21,1001.71,277.49,1021.01,3.18,1.94,292.07,0.26,0.49
2025-03-01,33.87,-118.52872727272725,2.57,1.57,262.82,315.57,977.03,313.06,997.68,3.21,2.04,287.41,0.23,0.52
2025-03-01,33.87,-118.27863636363634,2.59,1.49,277.62,301.41,1032.16,274.68,975.61,2.94,1.83,286.63,0.25,0.47
2025-03-01,33.87,-118.02854545454542,2.66,1.45,276.02,311.71,939.2,286.55,985.86,3.36,2.13,280.94,0.26,0.49
2025-03-01,33.87,-117.77845454545451,2.6,1.47,290.16,303.09,1055.58,291.37,1113.8,2.88,1.89,276.01,0.22,0.48
2025-03-01,33.87,-117.5283636363636,2.5,1.5,312.38,280.13,995.64,283.63,1039.26,2.87,2.24,291.65,0.25,0.52
2025-03-01,33.87,-117.27827272727268,2.68,1.38,296.45,273.15,1044.8,254.93,1066.09,2.83,2.04,291.6,0.26,0.52
2025-03-01,33.87,-116.77809090909085,2.4,1.58,300.58,296.37,1043.61,274.95,963.42,2.74,1.82,289.16,0.26,0.54
2025-03-01,33.62,-119.279,2.64,1.43,318.95,306.96,973.14,323.68,1047.51,3.22,1.97,283.14,0.23,0.5
2025-03-01,33.62,-116.77809090909085,2.55,1.43,281.56,276.13,1007.09,312.53,1047.63,3.23,1.94,297.38,0.23,0.51
2025-03-01,33.62,-119.02890909090908,2.35,1.45,277.92,282.13,1043.52,304.57,1041.08,3.05,2.02,301.57,0.25,0.5
2025-03-01,33.62,-118.77881818181817,2.32,1.44,279.58,276.8,1052.79,283.33,1006.32,2.8,2.15,282.79,0.26,0.54
2025-03-01,33.62,-118.52872727272725,2.65,1.55,277.95,299.31,1026.83,270.67,967.95,2.92,1.81,275.64,0.25,0.49
2025-03-01,33.62,-118.27863636363634,2.54,1.51,287.4,290.44,1006.22,290.91,1050.57,3.04,2.05,281.56,0.26,0.49
2025-03-01,33.62,-118.02854545454542,2.47,1.59,265.37,291.7,901.94,306.71,1041.15,3.04,1.88,285.32,0.25,0.56
2025-03-01,33.62,-117.77845454545451,2.52,1.61,297.85,316.55,992.72,285.94,974.62,2.98,1.9,290.79,0.25,0.5
2025-03-01,33.62,-117.5283636363636,2.41,1.55,288.93,280.29,960.24,302.35,1031.82,3.04,2.0,293.67,0.27,0.47
2025-03-01,33.62,-117.27827272727268,2.46,1.41,307.52,278.17,971.97,283.2,980.7,3.17,1.89,268.38,0.26,0.53
2025-03-01,33.62,-117.02818181818176,2.31,1.5,311.09,291.36,1091.06,285.14,1027.59,2.84,1.91,292.88,0.23,0.54
2025-03-01,33.87,-119.279,2.47,1.47,315.2,274.2,1123.25,297.78,1032.25,3.38,2.09,299.04,0.24,0.5
2025-03-01,33.37,-119.279,2.57,1.57,292.47,294.47,985.16,309.26,1014.52,3.0,2.1,277.55,0.26,0.49
2025-03-01,33.37,-119.02890909090908,2.69,1.45,308.33,268.5,980.6,290.5,995.29,3.07,1.99,276.46,0.24,0.51
2025-03-01,33.87,-117.02818181818176,2.4,1.39,279.3,283.57,958.45,309.17,1033.41,2.8,1.97,266.43,0.25,0.47
2025-03-01,33.37,-118.52872727272725,2.64,1.6,284.15,273.81,977.9,300.26,936.52,2.68,1.95,295.57,0.23,0.45
2025-03-01,33.37,-118.77881818181817,2.71,1.48,284.25,271.77,1037.45,285.59,934.2,3.2,2.18,303.48,0.24,0.49
2025-03-01,33.37,-118.27863636363634,2.36,1.56,267.41,279.84,1030.39,285.74,1010.63,2.98,2.02,272.27,0.24,0.55
2025-03-01,33.37,-118.02854545454542,2.53,1.5,304.66,269.52,992.75,304.37,1014.2,3.25,1.91,309.7,0.24,0.52
2025-03-01,33.37,-117.77845454545451,2.63,1.46,280.15,281.59,968.76,281.01,1012.43,2.99,1.88,295.09,0.26,0.52
2025-03-01,33.37,-117.5283636363636,2.62,1.55,298.19,297.09,1028.45,300.26,1075.4,3.28,1.96,304.87,0.27,0.47
2025-03-01,33.37,-117.27827272727268,2.67,1.56,274.45,307.27,1031.38,291.98,959.76,2.94,2.11,293.21,0.25,0.55
2025-03-01,33.37,-117.02818181818176,2.47,1.53,304.34,285.67,1056.0,282.19,1045.03,2.95,1.9,302.75,0.26,0.52
2025-03-01,33.37,-116.528,2.52,1.35,288.0,290.52,1031.3,263.2,903.37,3.01,1.9,321.57,0.24,0.49
2025-03-01,33.119,-119.279,2.58,1.53,287.95,291.06,1068.59,284.17,1012.77,3.12,2.14,281.67,0.26,0.51
2025-03-01,33.119,-119.02890909090908,2.29,1.43,297.65,272.92,938.89,295.78,1057.76,3.03,1.92,271.98,0.26,0.51
2025-03-01,33.37,-116.77809090909085,2.54,1.49,286.14,287.58,1087.45,298.79,990.77,3.18,1.93,288.85,0.23,0.48
2025-03-01,33.119,-118.52872727272725,2.67,1.58,290.52,274.52,1049.15,305.3,1034.55,3.18,1.96,300.94,0.24,0.51
2025-03-01,33.119,-116.528,2.46,1.53,310.18,307.17,1039.61,305.8,936.27,2.81,1.99,306.59,0.24,0.5
2025-03-01,33.119,-118.77881818181817,2.46,1.43,278.46,284.13,942.5,281.67,985.87,2.83,2.0,285.01,0.25,0.5
2025-03-01,33.119,-117.02818181818176,2.72,1.6,259.66,292.76,995.04,278.47,1021.34,3.05,1.85,285.41,0.25,0.51
2025-03-01,33.119,-117.27827272727268,2.64,1.61,290.79,260.25,1008.08,317.38,967.5,2.8,2.0,275.51,0.25,0.51
2025-03-01,33.119,-117.5283636363636,2.35,1.52,275.19,283.99,1007.37,308.8,1081.14,3.37,2.08,282.55,0.25,0.48
2025-03-01,33.119,-116.77809090909085,2.79,1.5,278.73,288.14,1007.48,302.1,1011.83,3.04,1.94,299.05,0.24,0.49
2025-03-01,33.119,-118.02854545454542,2.61,1.51,306.08,281.0,936.33,284.35,1114.92,3.02,1.97,269.03,0.26,0.49
2025-03-01,33.119,-118.27863636363634,2.38,1.44,293.6,254.68,1018.33,288.1,1115.94,3.08,1.93,270.13,0.24,0.51
2025-03-01,33.119,-117.77845454545451,2.55,1.64,301.88,281.73,1091.59,302.37,1008.4,2.98,1.91,245.45,0.28,0.51
2025-03-02,34.87,-117.5283636363636,2.43,1.44,293.73,304.51,1073.73,281.64,1053.56,2.89,1.94,265.72,0.25,0.54
2025-03-02,34.12,-116.528,2.46,1.4,292.55,284.32,1024.49,307.92,994.58,3.17,2.05,287.4,0.25,0.51
2025-03-02,34.87,-119.279,2.19,1.42,296.78,258.19,960.12,309.49,979.72,3.03,2.03,266.44,0.27,0.51
2025-03-02,34.87,-119.02890909090908,2.61,1.56,294.4,288.17,965.64,290.16,1052.36,3.05,1.99,300.03,0.24,0.5
2025-03-02,34.87,-118.77881818181817,2.29,1.49,307.8,318.03,1102.95,286.45,1056.32,3.19,1.88,285.81,0.26,0.53
2025-03-02,34.87,-118.52872727272725,2.62,1.54,282.78,269.47,1055.47,277.73,978.13,3.18,2.03,267.6,0.25,0.5
2025-03-02,34.87,-118.27863636363634,2.57,1.46,302.97,255.64,1074.04,288.98,1007.68,2.91,2.04,260.14,0.24,0.48
2025-03-02,34.87,-118.02854545454542,2.55,1.54,280.22,303.71,1058.79,307.82,878.22,3.02,2.07,266.85,0.29,0.51
2025-03-02,34.87,-117.77845454545451,2.45,1.48,298.15,293.27,1097.14,281.06,1062.15,2.77,2.0,275.0,0.28,0.51
2025-03-02,34.87,-117.27827272727268,2.46,1.61,322.69,264.61,892.19,285.94,1083.81,2.88,2.1,288.38,0.27,0.52
2025-03-02,34.62,-117.27827272727268,2.54,1.46,285.64,301.77,956.62,290.57,1117.16,3.08,2.06,263.44,0.25,0.5
2025-03-02,34.87,-116.77809090909085,2.47,1.36,314.46,284.96,918.56,276.45,1044.58,3.16,2.01,271.17,0.26,0.49
2025-03-02,34.87,-116.528,2.53,1.46,281.21,298.01,980.26,293.35,981.68,3.21,1.97,256.21,0.25,0.49
2025-03-02,34.62,-119.02890909090908,2.68,1.61,282.54,289.91,964.5,290.45,986.6,3.12,1.98,269.52,0.25,0.5
2025-03-02,34.62,-118.77881818181817,2.41,1.57,274.51,281.22,990.71,316.81,1014.96,3.03,1.96,299.34,0.25,0.5
2025-03-02,34.62,-118.52872727272725,2.38,1.36,289.95,251.58,1032.71,305.13,1010.62,2.93,2.07,300.2,0.27,0.49
2025-03-02,34.62,-118.27863636363634,2.41,1.58,291.75,307.18,1138.32,281.73,989.15,2.95,2.15,272.81,0.22,0.5
2025-03-02,34.62,-118.02854545454542,2.47,1.58,302.67,279.04,970.22,301.76,989.85,2.87,2.07,288.12,0.27,0.51
2025-03-02,34.62,-117.77845454545451,2.65,1.64,273.15,301.13,1037.95,278.32,1057.91,3.02,2.09,302.93,0.26,0.49
2025-03-02,34.62,-117.5283636363636,2.6,1.57,282.71,244.12,1003.02,295.48,1070.52,2.91,1.98,278.07,0.23,0.5
2025-03-02,34.62,-117.02818181818176,2.18,1.5,284.26,331.21,1045.44,288.25,927.53,2.95,2.18,257.3,0.25,0.5
2025-03-02,34.87,-117.02818181818176,2.33,1.54,297.35,276.02,1075.46,301.46,1047.55,3.21,2.07,297.19,0.25,0.53
2025-03-02,34.62,-116.77809090909085,2.6,1.52,294.55,286.22,1095.04,290.98,1017.94,2.86,2.21,278.5,0.24,0.53
2025-03-02,34.37,-118.02854545454542,2.57,1.46,259.83,285.23,1032.85,297.91,982.09,2.72,2.0,284.64,0.25,0.49
2025-03-02,34.37,-119.279,2.45,1.53,305.31,261.27,1033.73,285.93,1055.17,3.02,2.05,269.98,0.26,0.47
2025-03-02,34.12,-116.77809090909085,2.48,1.5,286.71,288.53,1050.25,268.45,1000.61,3.07,1.89,279.38,0.26,0.49
2025-03-02,34.37,-117.27827272727268,2.6,1.49,302.54,260.74,1001.21,324.82,1012.6,2.94,1.91,282.24,0.25,0.52
2025-03-02,34.37,-117.5283636363636,2.7,1.57,304.72,312.21,983.57,290.45,1072.86,2.93,2.0,296.78,0.23,0.48
2025-03-02,34.37,-117.77845454545451,2.45,1.38,299.26,273.94,1011.03,282.94,1123.79,3.03,2.01,269.77,0.27,0.47
2025-03-02,34.37,-119.02890909090908,2.71,1.39,303.35,280.12,1096.54,280.68,976.76,2.91,2.0,275.41,0.25,0.51
2025-03-02,34.37,-118.27863636363634,2.43,1.46,282.86,283.7,1026.21,280.12,1030.88,3.05,1.92,270.67,0.25,0.54
2025-03-02,34.37,-118.52872727272725,2.39,1.49,290.33,258.68,1077.21,271.19,1050.38,2.9,2.05,295.96,0.23,0.49
2025-03-02,34.37,-118.77881818181817,2.49,1.44,300.46,278.06,914.41,303.79,1065.56,3.18,1.95,284.59,0.25,0.53
2025-03-02,34.37,-116.77809090909085,2.36,1.41,287.23,282.7,923.06,303.78,998.18,3.16,1.87,289.3,0.25,0.48
2025-03-02,34.37,-117.02818181818176,2.35,1.47,283.09,279.64,1012.08,307.5,991.03,3.02,2.02,270.89,0.24,0.49
2025-03-02,34.12,-117.02818181818176,2.55,1.53,296.16,292.56,1050.57,309.47,1055.23,3.19,1.79,289.53,0.24,0.5
2025-03-02,34.37,-116.528,2.62,1.3,303.57,278.56,1031.02,308.89,1022.0,3.23,2.23,273.8,0.24,0.46
2025-03-02,34.12,-119.279,2.47,1.47,268.9,275.65,1037.16,281.77,1012.29,3.25,1.99,271.68,0.25,0.5
2025-03-02,34.12,-119.02890909090908,2.62,1.45,291.01,289.52,1053.4,290.26,1032.98,3.1,2.17,319.74,0.25,0.51
2025-03-02,34.12,-118.77881818181817,2.55,1.68,278.12,286.51,1047.08,315.69,1032.28,3.08,2.06,266.43,0.28,0.53
2025-03-02,34.12,-118.52872727272725,2.32,1.5,281.54,268.03,1026.65,330.54,1018.38,3.1,2.11,300.14,0.26,0.52
2025-03-02,34.12,-118.27863636363634,2.45,1.64,276.83,288.52,1057.02,288.02,1074.39,2.75,1.74,272.34,0.22,0.45
2025-03-02,34.12,-118.02854545454542,2.58,1.42,293.64,281.4,1016.07,307.19,932.88,2.98,2.0,270.37,0.25,0.5
2025-03-02,34.12,-117.77845454545451,2.76,1.43,301.74,314.61,1070.17,312.5,921.13,2.86,2.07,283.0,0.27,0.49
2025-03-02,34.12,-117.5283636363636,2.67,1.52,287.99,259.15,1038.38,327.9,1057.06,2.79,1.99,275.67,0.26,0.5
2025-03-02,34.12,-117.27827272727268,2.4,1.52,300.95,301.5,1067.42,263.58,966.57,2.73,1.96,288.53,0.25,0.47
2025-03-02,34.62,-119.279,2.32,1.49,301.83,286.5,994.61,306.03,995.82,2.77,1.96,282.1,0.27,0.49
2025-03-02,34.62,-116.528,2.49,1.54,295.79,306.26,1010.89,282.86,968.97,2.88,1.92,301.61,0.25,0.52
2025-03-02,33.119,-116.528,2.11,1.49,312.37,288.29,1017.46,293.25,1122.02,3.05,1.98,291.7,0.23,0.47
2025-03-02,33.37,-119.02890909090908,2.4,1.55,275.4,286.66,1064.63,293.61,958.73,2.99,2.14,267.04,0.24,0.47
2025-03-02,33.62,-116.528,2.37,1.41,299.74,314.33,1061.38,299.71,900.54,2.81,1.96,282.04,0.26,0.44
2025-03-02,33.87,-118.52872727272725,2.51,1.65,292.61,282.92,1029.74,286.97,1051.44,3.05,2.05,276.76,0.24,0.46
2025-03-02,33.87,-118.27863636363634,2.28,1.46,273.31,290.34,896.34,263.33,1027.51,3.1,2.08,283.55,0.26,0.5
2025-03-02,33.87,-118.02854545454542,2.59,1.55,293.9,305.59,1009.14,308.96,1063.0,3.13,1.81,308.78,0.24,0.51
2025-03-02,33.87,-117.77845454545451,2.58,1.58,287.52,290.72,962.92,319.88,991.65,3.16,2.15,271.94,0.25,0.48
2025-03-02,33.87,-117.5283636363636,2.4,1.53,295.44,296.84,1035.52,310.87,1028.62,3.25,2.15,273.94,0.25,0.51
2025-03-02,33.87,-117.27827272727268,2.35,1.53,306.37,260.81,1049.6,292.87,1027.95,2.97,2.0,280.77,0.24,0.5
2025-03-02,33.87,-117.02818181818176,2.67,1.54,311.8,300.95,1012.34,306.33,1011.35,3.27,1.94,288.46,0.28,0.5
2025-03-02,33.87,-116.528,2.62,1.58,250.76,276.11,1031.6,299.78,979.47,3.15,1.82,280.93,0.25,0.46
2025-03-02,33.87,-118.77881818181817,2.27,1.52,294.35,281.74,1038.1,301.24,1004.51,3.0,2.14,273.38,0.26,0.51
2025-03-02,33.62,-119.02890909090908,2.33,1.47,307.65,268.91,991.06,284.93,1069.48,3.05,1.92,285.46,0.23,0.49
2025-03-02,33.62,-118.52872727272725,2.37,1.47,282.09,292.25,1040.14,293.74,968.89,3.06,2.0,275.81,0.27,0.47
2025-03-02,33.62,-118.27863636363634,2.69,1.38,304.6,276.74,1112.93,290.36,982.78,3.13,2.07,282.42,0.27,0.48
2025-03-02,33.62,-118.02854545454542,2.53,1.64,314.61,265.25,1109.13,283.29,1073.72,2.92,2.07,296.83,0.26,0.46
2025-03-02,33.62,-117.77845454545451,2.54,1.58,278.5,283.01,1018.49,291.26,1017.35,2.94,2.13,313.64,0.25,0.52
2025-03-02,33.62,-117.5283636363636,2.62,1.49,268.7,298.14,982.99,303.19,1016.88,3.15,2.17,265.07,0.26,0.46
2025-03-02,33.62,-117.27827272727268,2.73,1.56,302.7,292.89,1022.78,312.24,1016.48,2.66,1.99,286.22,0.24,0.51
2025-03-02,33.62,-117.02818181818176,2.4,1.49,272.49,277.07,990.67,303.12,975.83,2.96,2.14,308.75,0.26,0.55
2025-03-02,33.62,-116.77809090909085,2.54,1.57,266.37,284.0,941.02,290.96,894.34,3.07,1.83,283.12,0.26,0.46
2025-03-02,33.62,-118.77881818181817,2.54,1.49,286.57,294.34,1020.2,302.8,1066.03,2.81,2.05,281.26,0.24,0.47
2025-03-02,33.87,-119.279,2.53,1.38,308.1,290.95,963.21,269.37,1074.38,2.99,2.08,305.1,0.27,0.52
2025-03-02,33.62,-119.279,2.69,1.5,286.5,299.76,984.14,326.71,1060.86,2.98,1.82,300.87,0.24,0.47
2025-03-02,33.37,-119.279,2.5,1.52,288.96,276.0,998.74,296.08,967.61,3.04,2.01,272.88,0.26,0.48
2025-03-02,33.87,-116.77809090909085,2.68,1.59,295.6,281.97,968.15,291.5,1046.79,3.22,1.92,298.54,0.26,0.52
2025-03-02,33.37,-118.77881818181817,2.61,1.44,284.37,294.26,1013.71,305.13,973.53,2.85,2.01,279.1,0.26,0.49
2025-03-02,33.37,-118.27863636363634,2.54,1.46,273.72,280.12,977.26,296.89,1058.23,2.89,2.02,269.56,0.27,0.51
2025-03-02,33.37,-118.02854545454542,2.37,1.4,284.84,289.64,1045.19,299.03,1016.04,3.09,2.06,264.66,0.24,0.48
2025-03-02,33.37,-117.77845454545451,2.59,1.52,288.44,307.1,1065.03,298.46,1061.75,3.18,1.92,292.82,0.25,0.51
2025-03-02,33.37,-117.5283636363636,2.57,1.3,278.55,263.94,1068.03,290.05,1022.35,3.05,1.97,295.61,0.24,0.48
2025-03-02,33.37,-117.27827272727268,2.55,1.6,298.44,277.94,1103.8,291.53,1000.91,2.66,2.06,290.62,0.25,0.46
2025-03-02,33.37,-117.02818181818176,2.54,1.55,295.4,293.46,1061.13,314.48,977.41,3.13,1.97,275.83,0.26,0.48
2025-03-02,33.37,-116.77809090909085,2.38,1.47,303.72,267.29,962.59,289.61,980.91,2.79,1.99,280.23,0.23,0.52
2025-03-02,33.37,-116.528,2.46,1.32,299.79,288.65,1047.15,299.77,1017.41,2.84,2.01,287.19,0.26,0.5
2025-03-02,33.119,-119.279,2.59,1.48,270.17,273.45,1070.94,277.56,1004.63,3.1,1.97,284.68,0.26,0.52
2025-03-02,33.119,-119.02890909090908,2.45,1.61,291.87,282.26,1010.82,282.9,1031.52,3.27,2.15,276.05,0.25,0.48
2025-03-02,33.37,-118.52872727272725,2.56,1.61,328.03,299.63,1046.32,296.8,1032.67,3.0,2.09,269.94,0.23,0.49
2025-03-02,33.119,-118.52872727272725,2.39,1.47,275.57,285.48,974.3,294.22,1006.56,3.27,1.83,269.85,0.26,0.53
2025-03-02,33.119,-118.77881818181817,2.43,1.57,294.32,276.82,977.39,294.95,1003.49,2.98,1.9,268.06,0.25,0.45
2025-03-02,33.119,-116.77809090909085,2.67,1.52,297.19,279.09,1007.62,269.3,996.47,2.88,2.15,269.1,0.26,0.53
2025-03-02,33.119,-117.02818181818176,2.4,1.59,284.52,282.1,1002.95,285.48,1068.64,2.98,1.88,303.23,0.27,0.51
2025-03-02,33.119,-117.27827272727268,2.72,1.44,276.57,263.91,1049.34,322.56,961.59,2.67,1.97,296.36,0.24,0.52
2025-03-02,33.87,-119.02890909090908,2.65,1.47,288.01,261.28,1061.04,258.7,1018.7,2.87,1.8,278.51,0.26,0.49
2025-03-02,33.119,-117.77845454545451,2.6,1.52,270.35,315.8,1007.31,278.43,954.68,2.97,1.98,290.23,0.24,0.53
2025-03-02,33.119,-118.02854545454542,2.56,1.51,301.52,274.0,942.9,297.08,973.06,2.89,1.85,273.01,0.25,0.53
2025-03-02,33.119,-118.27863636363634,2.6,1.57,267.11,275.93,1050.98,287.84,1087.99,2.85,2.01,323.32,0.23,0.52
2025-03-02,33.119,-117.5283636363636,2.49,1.43,280.75,304.06,1035.24,298.96,970.85,3.06,2.31,276.98,0.25,0.53
2025-03-03,34.87,-117.27827272727268,2.53,1.58,283.24,274.68,1034.19,281.78,1042.64,2.88,2.17,295.37,0.25,0.51
2025-03-03,34.87,-119.02890909090908,2.53,1.44,318.06,299.06,943.69,318.85,925.92,2.94,1.98,279.28,0.26,0.51
2025-03-03,34.87,-118.77881818181817,2.6,1.35,312.85,273.21,988.92,286.1,1000.09,3.1,1.99,286.76,0.25,0.49
2025-03-03,34.87,-118.52872727272725,2.63,1.56,288.64,294.68,975.61,284.32,1048.0,2.88,1.91,287.01,0.26,0.5
2025-03-03,34.87,-118.27863636363634,2.66,1.47,280.42,272.02,1030.51,294.94,1004.72,3.15,2.06,291.51,0.25,0.56
2025-03-03,34.87,-118.02854545454542,2.5,1.63,307.09,278.25,1011.27,273.73,1011.47,2.83,2.09,295.74,0.24,0.52
2025-03-03,34.87,-117.77845454545451,2.25,1.38,273.5,293.23,1038.54,260.7,995.9,2.99,1.9,287.4,0.26,0.49
2025-03-03,34.87,-119.279,2.57,1.47,300.68,300.97,1003.65,302.88,1062.6,2.87,1.81,315.12,0.24,0.49
2025-03-03,34.87,-117.5283636363636,2.47,1.54,306.12,269.58,971.34,281.08,1011.93,2.67,1.8,296.55,0.26,0.51
2025-03-03,34.87,-117.02818181818176,2.54,1.52,265.88,302.03,1019.92,274.42,959.39,2.79,2.1,286.9,0.25,0.52
